,club,leagueCountry,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,Alpha_3,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,meanRating,yellowRed
1445,31,2,180.0,78.0,2,141,61,25,55,34,5,0,0,24,0.332842701603,770786.0,0.000409889241578,0.332842701603,804927.0,0.00322313266933,0.0,0.0
1446,76,2,184.0,80.0,4,136,56,34,46,17,19,0,1,24,0.335726434524,577396.0,0.000142637965082,0.335726434524,596217.0,0.00134473100237,0.0,0.0
1447,6,0,170.0,68.0,2,355,204,75,76,82,13,0,0,29,0.328901172667,1909458.0,0.000260776521472,0.328901172667,1999451.0,0.00161049402535,0.5,0.0
1448,90,2,181.0,71.0,9,118,44,31,43,4,6,0,0,24,0.334094090171,387744.0,0.00049124194148,0.334094090171,403253.0,0.00290009757471,0.625,0.0
1449,10,3,199.0,88.0,5,209,129,47,33,0,6,0,1,30,0.338736086334,437114.0,0.000383469417899,0.338736086334,457703.0,0.00226450398249,0.25,0.0
1450,32,1,180.0,75.0,4,129,64,25,40,5,11,1,0,33,0.343815625737,104226.0,0.000421387658068,0.343815625737,108466.0,0.00462302402251,0.875,1.0
1451,89,2,183.0,72.0,0,260,112,56,92,32,21,0,2,33,0.335300365368,597345.0,0.000417318605065,0.335300365368,622611.0,0.00290580677412,0.0,0.0
1452,76,2,191.0,82.0,1,329,146,70,113,21,39,1,2,24,0.336268650854,602010.0,0.000158335418385,0.336268650854,620523.0,0.0013859685295,0.0,1.0
1453,12,2,186.0,74.0,0,353,242,59,52,141,17,1,0,24,0.3358693435,749526.0,0.000335436027159,0.3358693435,778550.0,0.00269373301887,0.125,1.0
1454,76,2,174.0,65.0,12,56,24,15,17,7,3,0,0,24,0.338156393819,303687.0,0.00015303687132,0.338156393819,312678.0,0.00143178436604,0.0,0.0
1455,80,0,195.0,89.0,5,506,195,135,176,0,10,0,0,29,0.32812871474,2639932.0,0.000252561949853,0.32812871474,2764622.0,0.00169233681857,0.25,0.0
1456,6,0,180.0,73.0,1,345,192,56,97,25,54,1,3,29,0.331186119576,1432832.0,0.000287760883182,0.331186119576,1498918.0,0.00210086193793,0.0,1.0
1457,15,2,184.0,83.0,4,307,130,74,103,13,56,0,0,24,0.335231786232,524390.0,0.000219514673464,0.335231786232,542437.0,0.00186625029148,0.25,0.0
1458,88,2,183.0,75.0,9,145,78,32,35,16,12,0,1,24,0.335945404579,389819.0,0.000140123608859,0.335945404579,402114.0,0.00145956603319,0.0,0.0
1459,27,0,195.0,88.0,5,501,242,126,133,1,17,0,1,29,0.329824859069,1931835.0,0.000326431524893,0.329824859069,2020573.0,0.00208325005205,0.25,0.0
